intent,rewritten_intent,snippet,question_id
Switch every pair of characters in a string,switch positions of each two adjacent characters in string `a`,"print(''.join(''.join(i) for i in zip(a2, a1)) + a[-1] if len(a) % 2 else '')",30628176
How to make a window jump to the front?,make a window `root` jump to the front,"root.attributes('-topmost', True)",1892339
How to make a window jump to the front?,make a window `root` jump to the front,root.lift(),1892339
Elegant way to convert list to hex string,Convert list of booleans `walls` into a hex string,"hex(int(''.join([str(int(b)) for b in walls]), 2))",17731822
Elegant way to convert list to hex string,convert the sum of list `walls` into a hex presentation,"hex(sum(b << i for i, b in enumerate(reversed(walls))))",17731822
Print multiple arguments in python,"print the string `Total score for`, the value of the variable `name`, the string `is` and the value of the variable `score` in one print call.","print(('Total score for', name, 'is', score))",15286401
Print multiple arguments in python,print multiple arguments 'name' and 'score'.,"print('Total score for {} is {}'.format(name, score))",15286401
Print multiple arguments in python,print a string using multiple strings `name` and `score`,"print('Total score for %s is %s  ' % (name, score))",15286401
Print multiple arguments in python,print string including multiple variables `name` and `score`,"print(('Total score for', name, 'is', score))",15286401
Is it possible to serve a static html page at the root of a django project?,serve a static html page 'your_template.html' at the root of a django project,"url('^$', TemplateView.as_view(template_name='your_template.html'))",30650254
use a list of values to select rows from a pandas dataframe,"use a list of values `[3,6]` to select rows from a pandas dataframe `df`'s column 'A'","df[df['A'].isin([3, 6])]",12096252
How to get the concrete class name as a string?,,instance.__class__.__name__,521502
How can I execute Python code in a virtualenv from Matlab,execute python code `myscript.py` in a virtualenv `/path/to/my/venv` from matlab,system('/path/to/my/venv/bin/python myscript.py'),39538010
django models selecting single field,django return a QuerySet list containing the values of field 'eng_name' in model `Employees`,"Employees.objects.values_list('eng_name', flat=True)",7503241
Python regex findall alternation behavior,"find all digits in string '6,7)' and put them to a list","re.findall('\\d|\\d,\\d\\)', '6,7)')",31465002
How do I make python to wait for a pressed key,prompt string 'Press Enter to continue...' to the console,input('Press Enter to continue...'),983354
Print string as hex literal python,"print string ""ABC"" as hex literal","""""""ABC"""""".encode('hex')",21947035
python + pymongo: how to insert a new field on an existing document in mongo from a for loop,insert a new field 'geolocCountry' on an existing document  'b' using pymongo,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})",15666169
"Regex to match 'lol' to 'lolllll' and 'omg' to 'omggg', etc",Write a regex statement to match 'lol' to 'lolllll'.,"re.sub('l+', 'l', 'lollll')",3895874
Getting the nth element using BeautifulSoup,BeautifulSoup find all 'tr' elements in HTML string `soup` at the five stride starting from the fourth element,rows = soup.findAll('tr')[4::5],8724352
Reverse Y-Axis in PyPlot,reverse all x-axis points in pyplot,plt.gca().invert_xaxis(),2051744
Reverse Y-Axis in PyPlot,reverse y-axis in pyplot,plt.gca().invert_yaxis(),2051744
How do I stack two DataFrames next to each other in Pandas?,stack two dataframes next to each other in pandas,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)",13079852
Creating a JSON response using Django and Python,create a json response `response_data`,"return HttpResponse(json.dumps(response_data), content_type='application/json')",2428092
Process escape sequences in a string,decode escape sequences in string `myString`,myString.decode('string_escape'),4020539
How do I calculate the md5 checksum of a file in Python?,calculate the md5 checksum of a file named  'filename.exe',"hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()",16874598
Finding key from value in Python dictionary:,Find all keys from a dictionary `d` whose values are `desired_value`,"[k for k, v in d.items() if v == desired_value]",7657457
Extract all keys from a list of dictionaries,create a set containing all keys' names from dictionary `LoD`,{k for d in LoD for k in list(d.keys())},11399384
Extract all keys from a list of dictionaries,create a set containing all keys names from list of dictionaries `LoD`,set([i for s in [list(d.keys()) for d in LoD] for i in s]),11399384
Extract all keys from a list of dictionaries,extract all keys from a list of dictionaries `LoD`,[i for s in [list(d.keys()) for d in LoD] for i in s],11399384
"Is there a more elegant way for unpacking keys and values of a dictionary into two lists, without losing consistence?",unpack keys and values of a dictionary `d` into two lists,"keys, values = zip(*list(d.items()))",6612769
Convert a string to integer with decimal in Python,convert a string `s` containing a decimal to an integer,int(Decimal(s)),1094717
Convert a string to integer with decimal in Python,,int(s.split('.')[0]),1094717
Numpy: How to check if array contains certain numbers?,check if array `b` contains all elements of array `a`,"numpy.in1d(b, a).all()",10565598
Numpy: How to check if array contains certain numbers?,numpy:  check if array 'a' contains all the numbers in array 'b'.,numpy.array([(x in a) for x in b]),10565598
Node labels using networkx,Draw node labels `labels` on networkx graph `G ` at position `pos`,"networkx.draw_networkx_labels(G, pos, labels)",15548506
How to make a copy of a 2D array in Python?,make a row-by-row copy `y` of array `x`,y = [row[:] for row in x],6532881
Pythonic way to populate numpy array,Create 2D numpy array from the data provided in 'somefile.csv' with each row in the file having same number of values,"X = numpy.loadtxt('somefile.csv', delimiter=',')",7356042
Check if a Python list item contains a string inside another string,get a list of items from the list `some_list` that contain string 'abc',matching = [s for s in some_list if 'abc' in s],4843158
How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?,export a pandas data frame `df` to a file `mydf.tsv` and retain the indices,"df.to_csv('mydf.tsv', sep='\t')",11041411
How do I create a LIST of unique random numbers?,,"random.sample(list(range(100)), 10)",9755538
Splitting on last delimiter in Python string?,split a string `s` on last delimiter,"s.rsplit(',', 1)",15012228
Python check if all elements of a list are the same type,Check if all elements in list `lst` are tupples of long and int,"all(isinstance(x, int) for x in lst)",13252333
Python check if all elements of a list are the same type,check if all elements in a list 'lst' are the same type 'int',"all(isinstance(x, int) for x in lst)",13252333
Python . How to get rid of '\r' in string?,strip a string `line` of all carriage returns and newlines,line.strip(),13656519
How can I scroll a web page using selenium webdriver in python?,scroll to the bottom of a web page using selenium webdriver,"driver.execute_script('window.scrollTo(0, Y)')",20986631
How can I scroll a web page using selenium webdriver in python?,scroll a to the bottom of a web page using selenium webdriver,"driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')",20986631
How do I convert a datetime.date object into datetime.datetime in python?,convert Date object `dateobject` into a DateTime object,"datetime.datetime.combine(dateobject, datetime.time())",11619169
How to check if one of the following items is in a list?,check if any item from list `b` is in list `a`,print(any(x in a for x in b)),740287
Saving a Numpy array as an image,save a numpy array `image_array` as an image 'outfile.jpg',"scipy.misc.imsave('outfile.jpg', image_array)",902761
Regex for removing data in parenthesis,Remove anything in parenthesis from string `item` with a regex,"item = re.sub(' ?\\([^)]+\\)', '', item)",19794051
Regex for removing data in parenthesis,Remove word characters in parenthesis from string `item` with a regex,"item = re.sub(' ?\\(\\w+\\)', '', item)",19794051
Regex for removing data in parenthesis,Remove all data inside parenthesis in string `item`,"item = re.sub(' \\(\\w+\\)', '', item)",19794051
Checking if any elements in one list are in another,check if any elements in one list `list1` are in another list `list2`,len(set(list1).intersection(list2)) > 0,16138015
convert hex to decimal,convert hex string `s` to decimal,"i = int(s, 16)",9210525
convert hex to decimal,"convert hex string ""0xff"" to decimal","int('0xff', 16)",9210525
convert hex to decimal,"convert hex string ""FFFF"" to decimal","int('FFFF', 16)",9210525
convert hex to decimal,convert hex string '0xdeadbeef' to decimal,ast.literal_eval('0xdeadbeef'),9210525
convert hex to decimal,convert hex string 'deadbeef' to decimal,"int('deadbeef', 16)",9210525
Take screenshot in Python on Mac OS X,take screenshot 'screen.png' on mac os x,os.system('screencapture screen.png'),4524723
How to set window size using phantomjs and selenium webdriver in python,"Set a window size to `1400, 1000` using selenium webdriver","driver.set_window_size(1400, 1000)",21899953
Replace non-ascii chars from a unicode string in Python,replace non-ascii chars from a unicode string u'm\xfasica',"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')",3704731
Pandas/Python: How to concatenate two dataframes without duplicates?,concatenate dataframe `df1` with `df2` whilst removing duplicates,"pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)",21317384
numpy: efficiently reading a large array,Construct an array with data type float32 `a` from data in binary file 'filename',"a = numpy.fromfile('filename', dtype=numpy.float32)",4365964
How to use the mv command in Python with subprocess,execute a mv command `mv /home/somedir/subdir/* somedir/` in subprocess,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)",21804935
