intent,snippet
python : how to remove duplicate lists from a list?,b.sort(key=lambda x: a.index(x))
lambda in python,"f = lambda x, y: x + y"
technique to remove common words (and their plural versions) from the string,"'all', 'just', 'being', 'over', 'both', 'through', 'yourselves', 'its', 'before', 'herself', 'had', 'should', 'to', 'only', 'under', 'ours', 'has', 'do', 'them', 'his', 'very', 'they', 'not', 'during', 'now', 'him', 'nor', 'did', 'this', 'she', 'each', 'further', 'where', 'few', 'because', 'doing', 'some', 'are', 'our', 'ourselves', 'out', 'what', 'for', 'while', 'does', 'above', 'between', 't', 'be', 'we', 'who', 'were', 'here', 'hers', 'by', 'on', 'about', 'of', 'against', 's', 'or', 'own', 'into', 'yourself', 'down', 'your', 'from', 'her', 'their', 'there', 'been', 'whom', 'too', 'themselves', 'was', 'until', 'more', 'himself', 'that', 'but', 'don', 'with', 'than', 'those', 'he', 'me', 'myself', 'these', 'up', 'will', 'below', 'can', 'theirs', 'my', 'and', 'then', 'is', 'am', 'it', 'an', 'as', 'itself', 'at', 'have', 'in', 'any', 'if', 'again', 'no', 'when', 'same', 'how', 'other', 'which', 'you', 'after', 'most', 'such', 'why', 'a', 'off', 'i', 'yours', 'so', 'the', 'having', 'once'"
type of pile: how to order?,sort()
how to write unicode strings in a file?,f.write(s)
create a regular expression object with a pattern that doesn't match anything,re.compile('a^')
how can i order a list of connections?,"[4, 6, 5, 3, 7, 8], [1, 2]"
"plotting inside a loop for, with 'waiting' effect on matplotlib?",plt.show()
create a new column `a_perc` in dataframe `df` with row values equal to the value of the column `a` divided by the value of the column `sum`,df['A_perc'] = df['A'] / df['sum']
create an empty list,list()
turning from a rope to boolean into a python?,str2bool('1')
how to iterate over periods of time in pandas,"s.resample('3M', how='sum')"
adding dict lists adds value to each key,d = {k: [] for k in keys}
python convert list to dictionary,"l = [['a', 'b'], ['c', 'd'], ['e']]"
display maximum output data of columns in dataframe `pandas` that fit on the screen,"pandas.set_option('display.max_columns', None)"
insert the element into the python list after each nth element,"['a', 'b', 'c', 'x', 'd', 'e', 'f', 'x', 'g', 'h', 'i', 'x', 'j']"
sorting a list of dictionary values by date in python,"list.sort(key=lambda item: item['date'], reverse=True)"
pandas python - how to flatten a hierarchical index in columns,pd.DataFrame(df.to_records())
how to draw a wav file,plt.show()
how to multiply all integers within the list,"l = list(map(lambda x: 2 * x, l))"
invert the string `a_string`,"def reversed_string(a_string):
    return a_string[::(-1)]"
how to add a new div tag to an existing html file after an h1 tag using python,htmlFile = open('path to html file').read()
divide a list `l` into pieces of uniform size `n ',"[l[i:i + n] for i in range(0, len(l), n)]"
get the first element of each tuple in a list `rows`,[x[0] for x in rows]
what is the best way to sort the list with custom python sorting parameters?,li1.sort(key=lambda x: not x.startswith('b.'))
drawing a huge graph with networkx and matplotlib,plt.savefig('graph.pdf')
print 'here is your verification mark:'more unique of character u'\u2713',print('here is your checkmark: ' + '\u2713')
list handling in python,"var1, var2, var3 = (ll + [None] * 3)[:3]"
php to python pack('h'),binascii.hexlify('Dummy String')
"how to use applymap, lambda and dataframe together to filter / modify dataframe in python?",df.fillna('o')
specifying and saving the figure with the exact size in pixels,"plt.savefig('myfig.png', dpi=1000)"
to convert the column of date objects into pandas data frame to strings,df['A'].apply(lambda x: x.strftime('%d%m%Y'))
how to use ax.get_ylim() in matplotlib,"ax.axhline(1, color='black', lw=2)"
how to check if a string contains only numbers - python,str.isdigit()
adding calculated column(s) to a data frame in pandas,d['A'][1:] < d['C'][:-1]
the most pitonic way to print * in most * some number of decimals,"format(f, '.2f').rstrip('0').rstrip('.')"
indexer when trying read_table with pandas,"len(['DATE', 'TIME', 'DLAT', 'DLON', 'SLAT', 'SLON', 'SHGT', 'HGT', 'N', 'E'])"
by cutting a multidimensional list,[x[0] for x in listD[2]]
get a list of booleans `z` showing whether the corresponding items in the list `x` and `y` are the same,"z = [(i == j) for i, j in zip(x, y)]"
how to give a pandas/matplotlib graphic bar custom colors,"df.plot(kind='bar', stacked=True, color=my_colors)"
to change the properties of the line in mattlotlib graphic foot,plt.rcParams['line.color'] = 'white'
how to exchange a group of column headers with their values in pandas,"df = df.assign(a5=['Foo', 'Bar', 'Baz'])"
convert scientific notation to decimal - python,print('Number is: %.8f' % float(a[0] / a[1]))
add new key within a new key and assign value in the python dictionary,dic['Test'].update({'class': {'section': 5}})
how to get every permutation of a rope?,"print([''.join(p) for i in range(1, len(s) + 1) for p in permutations(s, i)])"
unleashing a single column (sub-) of a multiscript,"df.drop('a', level=1, axis=1)"
create list of random numbers in python,print('{.5f}'.format(randomList[index]))
python: how to build a dict from the simple list of keys and values,"dict(zip(i, i))"
"how to decode url to the route in python, django",urllib.parse.unquote(url)
can i extend within a list of lists in python?,"[[1, 100313, 0, 0, 1], [2, 100313, 0, 0, 1], [1, 100314, 0, 1, 0], [3, 100315]]"
select all rows from the `df` data frame where the values in the column 'columnx' are greater than or equal to `x` and less than or equal to `y`,df[(x <= df['columnX']) & (df['columnX'] <= y)]
how to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+')
permanently configure the current directory in 'c:/users/name/desktop',os.chdir('C:/Users/Name/Desktop')
show a grayscale image of the pixel matrix `imagearray ',"imshow(imageArray, cmap='Greys_r')"
how does a descriptor work with __set__ but without __get__?,myinst.__dict__['attr']
list of tuple organization,"[(1, 4), (4, 8), (8, 10)]"
how can i print on the current line in a command line application?,sys.stdout.flush()
how can i make a dispersal plot colored by density in matplotlib?,"plt.scatter(np.random.randn(100), np.random.randn(100), facecolors='none') "
how does yyy-mm-ddthh:mm:ss.000z format time to mm/dd/yyyy format time in python?,print(d.strftime('%m/%d/%Y'))
sending a mail from the flask-mail (smtpsenderrejected 530),app.config['MAIL_SERVER'] = 'smtp.gmail.com'
show a decimal in scientific notation,"""""""{:.2E}"""""".format(Decimal('40800000000.00000000000000'))"
convert the list to a dictionary in python,"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}"
how to sort a data frame in panda python by two or more columns?,"df.sort_values(['a', 'b'], ascending=[True, False])"
how can i get out of full screen mode in pygame?,"pygame.display.set_mode(size, FULLSCREEN)"
python pickle/unpickle list a/ of file 'afile',"pickle.load(open('afile', 'rb'))"
replace the character of a single quote (') in a string,""""""""""""".join([c for c in string if c != ""'""])"
how to convert hexagonal chain to integer into python?,"int('0x000000001', 16)"
to write text in good format in python,"f.write('%-40s %6s %10s %2s\n' % (filename, type, size, modified))"
how to write a python script that can communicate with the input and output of a fast executable?,process.stdin.flush()
get a list of the last words from another list of strings`original_list`,new_list = [x.split()[-1] for x in Original_List]
python: convert unicode chain to mm/dd/yyyy,"datetime.datetime.strptime('Mar232012', '%b%d%Y').strftime('%m/%d/%Y')"
display an image file `pathtofile`,Image.open('pathToFile').show()
how can i save data from a model form to the database in django?,obj.save()
it is possible to add the string as an element of the legend in matplotlib,plt.show()
extract the first n columns from the nuppy matrix,"a[:, :2]"
piton - conversion from hex to int/char,[ord(c) for c in s.decode('hex')]
how to call a function from another file?,print(function())
check if the string contains a certain number of words from another string,"print([(s, s in st1) for s in re.findall(pat, st2)])"
"savings dictionary whose keys are tuples with json, python","json.dumps({str(k): v for k, v in data.items()})"
row index in numpy,"i = np.array([[0], [1]])"
pytz - convert utc and time zone to local time,"pytz.utc.localize(utc_time, is_dst=None).astimezone(tz)"
"how to use the regular expression to separate numbers and characters into strings such as ""30m1000n20m""","re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
did you get random sample from the list while keeping the order of articles?,"rand_smpl = [mylist[i] for i in sorted(random.sample(range(len(mylist)), 4))]"
python regular expression matches the entire word,"re.search('\\bis\\b', your_string)"
name tuples on the list,a = [mynamedtuple(*el) for el in a]
how to modify a variable within a lambda function?,"myFunc(lambda a, b: iadd(a, b))"
create a list containing each line of a file,"my_list = [line.split(',') for line in open('filename.txt')]"
how to serve static files in the flask,app.run()
there are no minor grid lines on the x-axis only,"axes.xaxis.grid(False, which='minor')"
get a list of non-zero item indexes in a list `a`,"[i for i, e in enumerate(a) if e != 0]"
how can i send variables to the jinja template of the flask decorator?,return render_template('template.html')
regex score split [python],"re.split('\\W+', 'Words, words, words.')"
how to convert an ordained decree into a regular decree into python3,"dict(OrderedDict([('method', 'constant'), ('data', '1.225')]))"
how to use an application to satisfy multiple urls in django,"urlpatterns = patterns('', ('', include('myapp.urls')))"
convert `d` pair dictionary to a list of tuples,"[(v, k) for k, v in d.items()]"
remove items from the list while iterates,somelist = [x for x in somelist if not determine(x)]
returns multiple python comprehension lists,"x, y = zip(*[(i, -1 * j) for i, j in enumerate(range(10))])"
python: how to remove values from 2 lists based on what is in 1 list,ind = [i for i in range(len(yVar)) if yVar[i] < 100]
how to count the number of words in a sentence?,len(s.split())
standard way to open the folder window in linux?,"os.system('xdg-open ""%s""' % foldername)"
fill missing indexes in pandas,x.resample('D').fillna(0)
python sorting - a list of objects,somelist.sort(key=lambda x: x.resultType)
python regular expression to replace anything but specific words,"print(re.sub('(.+?)(going|you|$)', subit, s))"
get a literal utf-8 string representation of byte `x`,"""""""x = {}"""""".format(x.decode('utf8')).encode('utf8')"
find all the occurrences of character in the chain,"[x.start() for x in re.finditer('\\|', str)]"
piton: confusion with urljoin,"urljoin('http://some/more/', '/thing')"
how can i concatenate a series into a data frame with pandas?,"pd.concat([students, pd.DataFrame(marks)], axis=1)"
"distance between arrays nuppy, columnwise","arr2.T[numpy.array(zip(list(range(0, 3)), list(range(1, 4))))]"
how do i python to wait for a pressed key,input('Press Enter to continue...')
does anyone know of a good example of functional test a python tkinter application?,Mainscreen()
