intent,snippet
logging to instagram using python requests,"driver = webdriver.PhantomJS()
driver.get('http://insta.friendorfollow.com')"
regex to match domain.cctld,"def is_domain(d):
    pass"
return json response from flask view,return jsonify(d)
create an instance from serializer without persisting it to db,Potato(**validated_data)
pandas multiindex assignment from another dataframe,"df.loc[(idx[:, ('a', 'b')]), :] = df_.values"
"sort lines in text file, but only use the first n characters","import operator
with open('filename', 'r') as f:
    pass"
filter a python list by predicate,[x for x in lst if x % 2 == 0]
how to convert nonetype to int or string?,answer = my_value / divisor
formatting floats in python without superfluous zeros,return d.quantize(Decimal(1)) if d == d.to_integral() else d.normalize()
cross platform solution for getting current login name in python,"for var in ['USER', 'USERNAME', 'LOGNAME']:
    if var in os.environ:
        username = os.environ[var]"
numpy: efficiently reading a large array,"a = np.arange(12).reshape(3, 4, order='F')
a.T"
python - calling a function from within itself,"def recur_factorial(n):
    """"""Function to return the factorial of a number using recursion""""""
if n == 1:
    return n
else:
    return n * recur_factorial(n - 1)"
conditional passing of arguments to methods in python,"return a, c"
interactive _standalone_ output from matplotlib,"YAR002W = apoptosis
YBL007C = ribosome"
creating a python classmethod,return cls(page=page)
python: how to import package twice?,"def __enter__(self):
    pass"
download several parts of one file concurrently with python?,print(respose.headers)
how do i attach a remote debugger to a python process?,"f = manhole_ssh.ConchFactory(p)
return f
reactor.listenTCP(2222, getManholeFactory(globals()))
reactor.run()"
constructing a python set from a numpy matrix,"def __hash__(self):
    pass"
insert line at middle of file with python?,f.close()
unwanted extra dimensions in numpy array,print(minimal_dims.shape)
speeding up parts of existing python app with pypy or shedskin,a = numpy.arange(10000000)
how to use the ie webdriver from selenium for python (failed to navigate error)?,"driver = webdriver.Remote(command_executor=
    'http://usename:key@hub.browserstack.com:80/wd/hub',
    desired_capabilities=desired_cap)"
how to visualize 95% confidence interval in matplotlib?,"data_df = np.array([5, 6, 7, 8])"
inspect lambda code from python interpreter,import linecache
insert data into mysql table from python script,"results = cursor.fetchone()
qSQL = results[0]
cursor.execute(qSQL)
qSQLresults = cursor.fetchall()
for row in qSQLresults:
    id = row[0]
city = row[1]
cursor.execute(
    """"""INSERT into FACTRESTTBL (id, city)
                  values (%s, %s)"""""",
    (id, city))
db.commit()
db.close()"
pandas slow on data frame replace,"to_filenames = from_filenames.str[1:] + from_filenames.str[0]
m = pd.Series(to_filenames.values, from_filenames.values)"
list of arguments with argparse,from docopt import docopt
displaying networkx graph with labels,G.number_of_edges()
using query string in python pyramid route configuration,"def plot_view(request):
    action = request.GET('action')
if action == 'edit':
    return render_to_response('bunseki:templates/form.pt', {}, request)"
need help calculating geographical distance,"d_long = math.fabs(start_long - end_long)
EARTH_R = 6372.8
y = math.sin(start_lat) * math.sin(end_lat) + math.cos(start_lat) * math.cos(
    end_lat) * math.cos(d_long)
x = math.sqrt((math.cos(end_lat) * math.sin(d_long)) ** 2 + (math.cos(
    start_lat) * math.sin(end_lat) - math.sin(start_lat) * math.cos(end_lat
    ) * math.cos(d_long)) ** 2)
c = math.atan(x / y)
return EARTH_R * c
f = geocalc(36.12, -86.67, 33.94, -118.4)
print(f)"
how to monkey patch django?,return self.username
new lines with python's configparser?,"cleaned = [item.strip() for item in eg.split(',')]"
"how to fix ""attempted relative import in non-package"" even with __init__.py","from os import sys, path"
django migration file in an other app?,"replaces = (TARGET_APP, __module__.rsplit('.', 1)[-1]),"
convert float to comma-separated string,"for i in range(places):
    pass"
swapping columns in a numpy array?,"temp = numpy.copy(my_array[:, (0)])"
python nested dict to csv with many columns,"with open('university_nominations.csv', 'w', newline='') as csvfile:
    writer = csv.DictWriter(csvfile, fieldnames)"
how to generate the pem serialization for the public rsa/dsa key,seq2.decode(data)
python regular expression with optional but greedy groups,"'', '{a}', 'text', '{b}', 'test'"
can't construct object from parameter in constructor called by pyyaml,"def set_values(self, colour='', friends=None):
    pass"
how to delete a symbolic link in python?,"if os.path.isdir(targetLink):
    pass"
writing multi-line strings to cells using xlwt module,"book = xlwt.Workbook()
sheet = book.add_sheet('Test')
sheet.write(0, 0, 'Hello\nWorld')
style = xlwt.XFStyle()"
creating a gradient fill in a pdf file using reportlab,c.save()
seaborn heatmap y-axis reverse order,"import seaborn as sns
sns.set()"
"how does swig wrap a map<string,string> in python?",foo(map_string_string({'a': 'b'}))
most pythonic way to find/check items in a list with o(1) complexity?,"Counter(['h', 'e', 'l', 'o', 'o', 'z'])"
map with lambda vs map with function - how to pass more than one variable to function?,return func(value)
assigning method to object at runtime in python,"def new_func(arg1, arg2):
    stuff()"
"calculate the greatest distance between any two strings in a group, using python","max_ratios = find_max_ratio(t)
average = sum(max_ratios.values()) / float(len(max_ratios))
average"
how to parse a list or string into chunks of fixed length,"split_list = [listo[i:i + n] for i in range(0, len(listo), n)]
split_list"
how to remove multiple indexes from a list at the same time?,"indexes = [2, 3, 5]"
how to easily extract id from itunes url using python,"def get_id(url):
    pass"
drawing mud map,"visit(curRoom.southNeighbor, curX, curY + 1)
visit(curRoom.westNeighbor, curX - 1, curY)"
python curve fit library that allows me to assign bounds to parameters,"pl.plot(x, np.imag(y), c='r', lw=1.0, label='im(f)')"
how to convert signed 32-bit int to unsigned 32-bit int in python?,result = numpy.uint32(numpy.int32(arr))
how can i make command line arguments visible to flask routes?,app = Flask(__name__)
how do you send an http get web request in python?,"conn.request('HEAD', '/index.html')
res = conn.getresponse()
print(res.status, res.reason)"
boost-python how to pass a c++ class instance to a python class,"""""""class Person:
"""""""
is there a command to make a pytest restart?,"assert word1 != word2
if __name__ == '__main__':
    test_maybe_recursive()"
pycharm show full diff when unittest fails for multiline string?,"def equal(expected, actual):
    msg = ""'"" + actual + ""' != '"" + expected + ""'"""
runtimeerror: maximum recursion depth exceeded in python,"if elementList[midPointOfList] > value:
    max = midPointOfList - 1
return recursiveBinaryChop(value, elementList, min, max)"
multithreaded blas in python/numpy,import numpy as np
removing all extension of a string in list,new_dict[i] = temp
how would you create a comma-delimited string from a pyodbc result row?,"cursor.execute(query_str)
with open(out_file, 'w') as f:
    pass"
how to modify a vim buffer with a python script?,"buf = vim.current.buffer
names = [x.name for x in triggers]"
importerror: no module named **** error in google app engine,"USER_NAME = 'username'
PASSWORD = 'password'

def get_connection():
    return rdbms.connect(instance=CLOUDSQL_INSTANCE, database=DATABASE_NAME,
        user=USER_NAME, password=PASSWORD, charset='utf8')"
how to speed labelencoder up recoding a categorical variable into integers,df.shape
python base64 data decode,"a = 'eW91ciB0ZXh0'
base64.b64decode(a)"
printing a variable in an embedded python interpreter,"d = PyModule_GetDict(main)
PyRun_String('a = (1, 2, 3)', Py_single_input, d, d)"
matplotlib log scale tick label number formatting,ax.set_yticks(z)
how to call a python method from a java class?,"bre.close()
p.waitFor()
System.out.println('Done.')"
check whether a path exists on a remote host using paramiko,"def rexists(sftp, path):
    """"""os.path.exists for paramiko's SCP object
    """"""
try:
    sftp.stat(path)
except IOError as e:
    pass"
how to use django-contact-form (third-party app)?,{{name}}
is there a way to convert indentation in python code to braces?,"for i in range(arg1):
    pass"
efficient projection of a bipartite graph in python (using networkx),cells = [n for n in B.nodes() if n[0] not in nodes]
order of keys in python dictionary,"od = OrderedDict((('a', 'first'), ('b', 'second')))
od
items = list(od.items())
items.reverse()
OrderedDict(items)"
how to print a sublist that contains all of the strings in another list?,"library = [['desk', 'chair', 'lamp'], ['cow', 'word', 'horse', 'word 2',
    'word 1']]"
"globally capture, ignore and send keyevents with python xlib, recognize fake input",print('event')
python joint distribution of n variables,"import numpy as np
numBins = 10
data = np.random.randn(100000, 3)"
python how to override a class member in the child and access it from parent?,"class Child(Parent):
    ID = 'Child Class'"
how do i track motion using opencv in python?,"def run(self):
    frame = cv.QueryFrame(self.capture)"
disallow django self-referential foreign key to point to self object,"class Meta:
    model = MyModel"
python statement of short 'if-else',"if t == 0:
    m = 100"
column order in pandas groupby agg function,"g = df.groupby(['people'])
g['people'].agg(OrderedDict([('C', len), ('B', len), ('A', len)]))"
how do i improve remove duplicate algorithm?,"for i in myl:
    if newl.count(i) != 2:
        pass"
how to make translucent sprites in pygame,"transsurface.set_colorkey((255, 0, 255))"
"default sub-command, or handling no sub-command with argparse","if sp_name in sys.argv[1:]:
    pass"
flask json custom error page,"def not_found(error):
    response = jsonify({'code': 404, 'message': 'No interface defined for URL'}
        )
response.status_code = 404"
how do i abort the execution of a python script?,"def main():
    done = True
if done:
    return
else:
    pass"
selenium: wait until text in webelement changes,"WebDriverWait(driver, 10).until(text_to_be_present_in_element_value((By.
    CLASS_NAME, 'searchbox'), '((?<=\\()[0-9]*)'))"
returning the first n characters of a unicode string,"unistring = (
    '\xce\x9c\xce\xb5\xcf\x84\xce\xb1\xce\xbb\xce\xbb\xce\xb9\xce\xba\xce\xb1')"
self referential many to many flask-sqlalchemy,"class Minor(db.Model):
    __tablename__ = 'minors'
id = db.Column(db.Integer, primary_key=True)"
how do i match a word in a text file using python?,"if re.search('^there$', line, re.I):
    pass"
can an object inspect the name of the variable it's been assigned to?,self.name = func.__name__
python regex: splitting on pattern match that is an empty string,"def zerowidthsplit(pattern, string):
    splits = list(m.start() for m in re.finditer(pattern, string))
starts = [0] + splits
ends = splits + [len(string)]
return [string[start:end] for start, end in zip(starts, ends)]
print(zerowidthsplit('(?<!foo)(?=bar)', 'foobarbarbazbar'))"
match start and end of file in python with regex,"pat = re.compile('^.*pattern.*$', re.M | re.DOTALL)
print(pat.findall(data))"
"sort a numpy array by another array, along a particular axis","static_indices = numpy.indices((3, 3, 3))"
how can i create a list of files in the current directory and its subdirectories with a given extension?,"for root, dirs, files in os.walk('C:\\web'):
    for file in files:
        if file.endswith('.asp'):
            pass"
print javascript exceptions in a qwebview to the console,"from PyQt4 import QtCore, QtGui, QtWebKit"
python numpy: create 2d array of values based on coordinates,"Z = np.zeros((3, 3))"
how to check if variable is string with python 2 and 3 compatibility,"def isstr(s):
    return isinstance(s, str)"
adding a background image to a plot with known corner coordinates,"y = np.random.uniform(0.0, 10.0, 15)
datafile = cbook.get_sample_data('lena.jpg')
img = imread(datafile)
plt.scatter(x, y, zorder=1)
plt.imshow(img, zorder=0, extent=[0.5, 8.0, 1.0, 7.0])
plt.show()"
